start,end,peak
194794.997,194794.997,-1.8549965269876918
194841.0035,194841.0035,-1.7148267730562978
194970.5811,194970.5811,-0.8646881955013943
195040.2102,195040.2102,-1.6813170421525045
195172.8988,195172.8988,-0.17726566916995257
195247.4561,195247.4561,0.41313741797717984
195291.9926,195291.9926,-1.133251322525469
195623.0983,195623.0983,1.8147034927249734
195680.9438,195701.4641,0.6218440253799069
196158.1858,196225.6457,-0.9499934581242089
196403.4496,196403.4496,-1.8658210612358754
196479.7852,196490.3316,0.33820430396727663
196544.9803,196566.9679,-0.14571577121600088
196716.6258,196737.2422,-1.1734922818325637
197672.7659,197863.3488,1.791173837369413
197927.2664,197936.4739,-0.09508248823941878
197967.2172,197967.2172,-1.877950124511333
198008.1882,198008.1882,-1.452262664404444
198207.0027,198233.5723,0.6985633843957729
198530.4344,198530.4344,-1.7535430523977902
198556.7492,198556.7492,-1.132015606980894
198643.4515,198643.4515,-1.8903484076119645
199265.5398,199319.101,-0.7546998151012229
199589.7404,199644.6455,2.9610247810708277
199690.2049,199719.9628,2.7660960121369467
200238.316,200238.316,-1.0515621273930886
201935.7373,201935.7373,-1.28547299616367
202477.0513,202505.119,1.4583583203125445
202612.2507,202612.2507,-1.3030239422820715
203125.519,203125.519,-1.799526600015283
203531.9694,203531.9694,-1.082421037013721
203589.9667,203589.9667,-1.0892938362969304
203709.7419,203722.6752,-1.271570849525528
203854.6605,203867.8398,-1.6046120121015948
205297.1952,205297.1952,-1.7984468306220398
206137.919,206152.1863,-1.4781344645979306
206287.1489,206287.1489,-1.5873691783006683
208010.9779,208010.9779,-1.14087412876476
209856.0506,209856.0506,-1.8253514633853123
210317.7726,210317.7726,-1.567889524728714
210598.1188,210611.6202,-0.8128787165988716
210914.0551,210914.0551,-1.4059741711965679
210946.5906,210959.5332,-0.08490941436432498
210990.5632,210990.5632,-0.9690004509510151
211020.6785,211020.6785,-0.0896094019696434
211041.5962,211041.5962,-1.652495901044222
211135.2855,211135.2855,-1.8120350090682853
211169.7217,211180.1276,-0.1577026769446528
211203.1796,211212.5141,-1.7820922780057113
211310.0188,211310.0188,-1.3342116440411018
211390.7653,211390.7653,-1.7951392098671017
211443.1706,211465.2299,-1.3567247155816078
211661.9829,211675.0343,-0.9349846784288175
211774.4412,211774.4412,-0.5497142791252831
212177.9452,212202.0978,-1.5375106067173485
212343.8503,212357.6336,-0.1163224163608857
212395.319,212395.319,-1.8542578238256344
212444.9825,212444.9825,-1.5329383997012647
212561.2779,212561.2779,-0.5415308011755262
212708.0977,212723.149,-1.1190813135054616
212973.6311,212973.6311,-1.4977956671986667
213412.1365,213441.9255,1.7818583550266744
213485.9415,213509.8518,0.049468172563430945
213601.5061,213601.5061,-1.869463524434162
213630.0997,213630.0997,-1.8066528229336116
213678.3223,213678.3223,-0.6404347639845944
213705.991,213718.7409,-1.348956788278587
214035.3569,214035.3569,-1.5258313623078579
214311.9537,214323.0283,-1.1874025213102035
214807.6728,214807.6728,-1.774319794921539
215135.9753,215147.9564,-0.7791784636699264
215174.6037,215174.6037,-1.0589121357105613
215231.9743,215231.9743,-1.6655948854011589
215292.8461,215292.8461,-0.7473446296615633
215334.2843,215334.2843,-1.5628991707932183
215463.1799,215463.1799,-0.03189860697225688
215503.556,215515.5981,-1.6938204247590738
215784.6903,215784.6903,-1.6011724925109858
215835.3688,215846.6999,-0.6587591380675446
215885.3471,215885.3471,-0.5434252320033943
215940.5956,215940.5956,-0.6031242392507361
216107.7147,216107.7147,-1.11385762572814
216472.0322,216472.0322,-1.5890072959403403
216973.1302,216973.1302,-1.4842898189208502
217197.3711,217197.3711,-0.05937769055418074
217352.2963,217352.2963,-0.5719049259844744
217431.2199,217444.1822,-0.42892176117234904
217485.829,217485.829,-0.608882253700628
217521.6633,217531.1728,0.138578854731776
217931.8275,217962.9569,0.9444306628783722
218069.9675,218069.9675,-0.40177504447028234
218728.316,218728.316,-1.2322717871878985
218816.4416,218816.4416,-1.7167382918764673
219123.4891,219123.4891,-1.4972573555097748
219450.5358,219450.5358,-1.527468486012481
219997.2531,219997.2531,-0.36564275220614717
220050.1646,220050.1646,-1.385645347173579
220275.9781,220275.9781,-1.2697713328111917
220544.9363,220544.9363,-1.597898182658307
220621.6239,220621.6239,-1.7187026130626317
220667.1137,220667.1137,-0.9233522983904028
221162.614,221162.614,-1.0228287116772288
221747.8871,221747.8871,-1.6287622843477418
221872.3499,221893.4361,-0.8574191080158227
222446.2842,222446.2842,-1.0675483508349424
222593.3067,222593.3067,-1.5798538015692032
222683.6871,222733.003,0.9825769477684604
222757.0141,222757.0141,-1.2333509620199006
222778.6794,222778.6794,-1.1726173300719698
222848.3713,222848.3713,0.8381714175069458
222874.4519,222919.5265,0.665361859275039
223002.536,223002.536,-1.9167896320979807
223206.812,223238.4667,-1.1970407351336687
223353.9797,223353.9797,-1.7238592318082337
223382.2347,223382.2347,-1.3751140831048763
223410.4324,223410.4324,-1.7027967252566776
223514.8181,223514.8181,-1.8843592068880552
223659.4487,223659.4487,-1.7551606491463057
223897.0604,223927.3876,-1.4770971406807396
224115.6564,224115.6564,-0.9639318778462217
224415.4859,224415.4859,-0.22615149639143506
224666.0016,224666.0016,-0.3808043779356849
224781.4249,224781.4249,-0.21154827629854278
224814.8409,224814.8409,-1.410160315193916
224851.4439,224851.4439,-0.16806761913751056
224997.9354,225023.7298,0.14415484263586475
225048.9116,225063.1703,0.17565773393888917
225100.0554,225100.0554,-0.04372972405506448
225333.7937,225333.7937,-0.6874386667070471
225364.5438,225407.2273,0.5172042288982145
225573.4048,225573.4048,-1.8543658390375022
225703.3058,225703.3058,-1.7598421285606132
225729.3736,225740.7336,-0.14692811486680135
226098.7232,226098.7232,-1.5987201004278457
226134.5539,226200.8874,-0.024124832882060465
226331.5006,226331.5006,-0.3351231757179396
226470.6107,226498.7924,-0.20827276368333414
226538.4755,226629.9673,-0.31285111121620957
227264.8529,227264.8529,-1.5209540377391226
227391.9426,227391.9426,-1.455573814965922
228025.2504,228064.645,-1.007347014793364
228153.0768,228153.0768,-1.4621557494864172
228280.387,228280.387,-1.4795235227026065
228317.9204,228421.9457,1.0894425311008726
228454.1718,228454.1718,-1.6748866240133036
228475.2012,228475.2012,-1.822342415651391
228495.4343,228495.4343,-1.3760070087436223
228535.5358,228546.8656,-1.6874525939503846
228613.0364,228613.0364,-1.911234548989295
228646.8479,228646.8479,-1.7854695971243109
228851.9638,228851.9638,-1.8028478804958272
228965.887,228981.6139,0.5706021283923639
229203.2808,229258.8568,0.3085174268745383
229635.1136,229635.1136,-1.80930020980876
229798.1415,229798.1415,-0.6055240603751431
230474.118,230474.118,-1.8568617088870518
230563.3965,230563.3965,-0.7570909772876746
230878.9634,230878.9634,-0.9471938661821258
230910.797,230910.797,-0.886652070239081
231265.5303,231283.7675,-0.6826257823612829
231615.6824,231615.6824,-1.6708063654268783
231990.7965,231990.7965,-1.269078012283954
233501.8167,233501.8167,-1.2986715665266382
233930.2489,233930.2489,-1.9252002889968713
234597.213,234597.213,-1.3159944274421977
234678.8887,234678.8887,-1.9179720477690696
